date,feature_index,avg(band_0)
2024-02-04T00:00:00.000Z,0,
2024-04-29T00:00:00.000Z,0,-0.0016200833276887139
2024-05-29T00:00:00.000Z,0,0.017066639177202032
2022-03-11T00:00:00.000Z,0,-0.18049996401471582
2022-04-20T00:00:00.000Z,0,0.09371568591328348
2022-05-15T00:00:00.000Z,0,
2022-06-04T00:00:00.000Z,0,
2022-11-26T00:00:00.000Z,0,-0.07049563278754552
2023-01-20T00:00:00.000Z,0,-0.19142498382674167
2023-02-14T00:00:00.000Z,0,-0.3166408927164264
2023-02-24T00:00:00.000Z,0,-0.3251052764998801
2023-04-20T00:00:00.000Z,0,0.15897184090595173
2023-07-09T00:00:00.000Z,0,0.11932384951479795
2023-08-08T00:00:00.000Z,0,
2023-10-07T00:00:00.000Z,0,0.12282235098888254
2023-11-21T00:00:00.000Z,0,
2024-01-20T00:00:00.000Z,0,
2022-01-20T00:00:00.000Z,0,
2023-01-10T00:00:00.000Z,0,-0.09401932362302508
2023-02-19T00:00:00.000Z,0,-0.3183228091282003
2023-05-05T00:00:00.000Z,0,
2023-12-26T00:00:00.000Z,0,-0.13794911013884917
2023-07-24T00:00:00.000Z,0,
2023-10-12T00:00:00.000Z,0,0.16210923340775113
2024-04-19T00:00:00.000Z,0,-0.03909457019886637
2024-05-19T00:00:00.000Z,0,0.13004835322499275
2024-05-24T00:00:00.000Z,0,
2023-03-31T00:00:00.000Z,0,-0.17677938654679315
2024-02-19T00:00:00.000Z,0,-0.3648273462023815
2023-03-06T00:00:00.000Z,0,-0.3081422336607672
2023-07-19T00:00:00.000Z,0,
2023-09-02T00:00:00.000Z,0,
2023-11-06T00:00:00.000Z,0,
2024-01-05T00:00:00.000Z,0,-0.27037651814294583
2024-05-04T00:00:00.000Z,0,0.017747163944929714
2023-11-16T00:00:00.000Z,0,
2024-02-09T00:00:00.000Z,0,
2022-04-30T00:00:00.000Z,0,0.1253166487342912
2022-05-30T00:00:00.000Z,0,0.016850472779812508
2022-10-27T00:00:00.000Z,0,0.12669104497653733
2023-06-24T00:00:00.000Z,0,
2023-08-23T00:00:00.000Z,0,
2023-11-01T00:00:00.000Z,0,0.14840590382026062
2023-12-01T00:00:00.000Z,0,
2024-02-24T00:00:00.000Z,0,
2022-03-01T00:00:00.000Z,0,-0.3977802710909417
2022-06-29T00:00:00.000Z,0,
2022-11-21T00:00:00.000Z,0,
2022-03-16T00:00:00.000Z,0,-0.14490470828247184
2022-07-14T00:00:00.000Z,0,
2022-09-12T00:00:00.000Z,0,
2023-05-20T00:00:00.000Z,0,0.12625356015746675
2023-07-04T00:00:00.000Z,0,
2022-12-11T00:00:00.000Z,0,
2023-01-05T00:00:00.000Z,0,
2023-09-12T00:00:00.000Z,0,
2023-11-26T00:00:00.000Z,0,
2023-06-09T00:00:00.000Z,0,
2024-05-09T00:00:00.000Z,0,-4.678141821940643E-4
2023-08-13T00:00:00.000Z,0,
2023-12-21T00:00:00.000Z,0,-0.12288865146835923
2024-03-20T00:00:00.000Z,0,-0.28076924403411385
2024-04-14T00:00:00.000Z,0,-0.03646853944511405
